PS_manual_aug_str,SD
CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.c1ccccc1C,4.13
Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.c1ccccc1C,4.13
O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.c1ccccc1C,4.13
O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.c1ccccc1C,4.13
c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1C,4.13
CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.c1ccccc1C,4.13
c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1C,4.13
O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.c1ccccc1C,4.13
CCC.CC[Si](C)(C)C.CCOC(=O)C,16.91
CC[Si](C)(C)C.CCC.CCOC(=O)C,16.91
C[Si](C)C.CO.CCOC(=O)C,26.91
CO.C[Si](C)C.CCOC(=O)C,26.91
CNCCCCCCCCCCCC=O.CCCCCOCCCCOCCCCCO.CCOC(=O)C,15.65
CCCCCOCCCCOCCCCCO.CNCCCCCCCCCCCC=O.CCOC(=O)C,15.65
CC.CCC#N.CCOC(=O)C,0.27
CCC#N.CC.CCOC(=O)C,0.27
CO.c1ccccc1.O=S=O.Cc1ccccc1.CCOC(=O)C,8.63
Cc1ccccc1.CO.c1ccccc1.O=S=O.CCOC(=O)C,8.63
O=S=O.Cc1ccccc1.CO.c1ccccc1.CCOC(=O)C,8.63
c1ccccc1.O=S=O.Cc1ccccc1.CO.CCOC(=O)C,8.63
CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CCOC(=O)C,9.2
Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.CCOC(=O)C,9.2
CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCOC(=O)C,9.2
c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.CCOC(=O)C,9.2
O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.CCOC(=O)C,9.2
c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.CCOC(=O)C,9.2
O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.CCOC(=O)C,9.2
