"PS_manual_aug_str,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar",J_Total_flux_kg_m_2h_1
O=CO.C.CCCO.O.C=O.NCCCCCCCCCCCC=O.CC(C)O|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
NCCCCCCCCCCCC=O.O=CO.C.CCCO.O.C=O.CC(C)O|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0245
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0245
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0245
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0245
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0245
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCO|82.0|24.24|ethanol|26.5|5.0|25|1.0|,0.0324
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCO|82.0|24.24|ethanol|26.5|5.0|25|1.0|,0.0324
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCO|82.0|24.24|ethanol|26.5|5.0|25|1.0|,0.0324
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCO|82.0|24.24|ethanol|26.5|5.0|25|1.0|,0.0324
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCO|82.0|24.24|ethanol|26.5|5.0|25|1.0|,0.0324
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0331
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0331
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0331
