c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCO|82.0|24.24|ethanol|26.5|10.0|25|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|10.0|80|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|10.0|60|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCO|82.0|24.24|ethanol|26.5|15.0|25|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CC(C)O|82.0|24.24|ipa|23.5|10.0|80|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCO|84.0|24.11|ethanol|26.5|15.0|25|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCO|90.0|23.35|ethanol|26.5|15.0|25|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCO|91.0|18.23|ethanol|26.5|15.0|25|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|39.0|ipa|23.5|15.0|60|5.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|39.0|ipa|23.5|15.0|100|5.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|28.0|ipa|23.5|15.0|60|5.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|28.0|ipa|23.5|15.0|100|5.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|10.0|ipa|23.5|15.0|60|5.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|10.0|ipa|23.5|15.0|80|5.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|10.0|ipa|23.5|15.0|100|5.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|20.5|ipa|23.5|15.0|60|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|20.5|ipa|23.5|15.0|70|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|20.5|ipa|23.5|15.0|80|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|20.5|ipa|23.5|15.0|90|1.0|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
C.CO.CC(C)O|74.0|22.0|ipa|23.5|10.0|25|1.3|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
C.CO.CC(C)O|74.0|22.0|ipa|23.5|5.0|25|1.3|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
C.CO.CC(C)O|74.0|22.0|ipa|23.5|15.0|25|1.3|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
C.CO.CC(C)O|74.0|22.0|ipa|23.5|25.0|25|1.3|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
C.CO.CC(C)O|74.0|22.0|ipa|23.5|25.0|75|1.3|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
C.CO.CC(C)O|74.0|22.0|ipa|23.5|15.0|75|1.3|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
C.CO.CC(C)O|74.0|22.0|ipa|23.5|10.0|75|1.3|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
C.CO.CC(C)O|74.0|22.0|ipa|23.5|5.0|75|1.3|,"0      0.037800
1      0.052300
2      0.089400
3      0.170000
4      0.198400
         .   
563    0.319000
564    0.911200
565    2.829900
566    0.031900
567    0.625333
Name: J_Total_flux_kg_m_2h_1, Length: 568, dtype: float64"
