"Polymer_manual_aug_str,T_K,P_Mpa",exp_CO2_sol_g_g
C.CO.C.C.C.C.O.C=O.C.C.C=O|323.15|10.129|,0.1076
C=O.C.CO.C.C.C.C.O.C=O.C.C|323.15|10.129|,0.1076
C.C=O.C.CO.C.C.C.C.O.C=O.C|323.15|10.129|,0.1076
C.C.C=O.C.CO.C.C.C.C.O.C=O|323.15|10.129|,0.1076
C=O.C.C.C=O.C.CO.C.C.C.C.O|323.15|10.129|,0.1076
O.C=O.C.C.C=O.C.CO.C.C.C.C|323.15|10.129|,0.1076
C.O.C=O.C.C.C=O.C.CO.C.C.C|323.15|10.129|,0.1076
C.C.O.C=O.C.C.C=O.C.CO.C.C|323.15|10.129|,0.1076
C.C.C.O.C=O.C.C.C=O.C.CO.C|323.15|10.129|,0.1076
C.C.C.C.O.C=O.C.C.C=O.C.CO|323.15|10.129|,0.1076
CO.C.C.C.C.O.C=O.C.C.C=O.C|353.15|1.148|,0.00876
C.CO.C.C.C.C.O.C=O.C.C.C=O|353.15|1.148|,0.00876
C=O.C.CO.C.C.C.C.O.C=O.C.C|353.15|1.148|,0.00876
C.C=O.C.CO.C.C.C.C.O.C=O.C|353.15|1.148|,0.00876
C.C.C=O.C.CO.C.C.C.C.O.C=O|353.15|1.148|,0.00876
C=O.C.C.C=O.C.CO.C.C.C.C.O|353.15|1.148|,0.00876
O.C=O.C.C.C=O.C.CO.C.C.C.C|353.15|1.148|,0.00876
C.O.C=O.C.C.C=O.C.CO.C.C.C|353.15|1.148|,0.00876
C.C.O.C=O.C.C.C=O.C.CO.C.C|353.15|1.148|,0.00876
C.C.C.O.C=O.C.C.C=O.C.CO.C|353.15|1.148|,0.00876
C.C.C.C.O.C=O.C.C.C=O.C.CO|353.15|1.148|,0.00876
CO.C.C.C.C.O.C=O.C.C.C=O.C|353.15|2.103|,0.01523
C.CO.C.C.C.C.O.C=O.C.C.C=O|353.15|2.103|,0.01523
C=O.C.CO.C.C.C.C.O.C=O.C.C|353.15|2.103|,0.01523
C.C=O.C.CO.C.C.C.C.O.C=O.C|353.15|2.103|,0.01523
C.C.C=O.C.CO.C.C.C.C.O.C=O|353.15|2.103|,0.01523
C=O.C.C.C=O.C.CO.C.C.C.C.O|353.15|2.103|,0.01523
O.C=O.C.C.C=O.C.CO.C.C.C.C|353.15|2.103|,0.01523
C.O.C=O.C.C.C=O.C.CO.C.C.C|353.15|2.103|,0.01523
C.C.O.C=O.C.C.C=O.C.CO.C.C|353.15|2.103|,0.01523
