Donor,Donor_SMILES,Acceptor,Acceptor_SMILES,HOMO_D_eV,LUMO_D_eV,HOMO_A_eV,LUMO_A_eV,PCE_percent,calc_PCE_percent,Voc_V,Jsc_mA_cm_neg2,FF_percent,DA_manual,DA_manual_aug,DA_manual_str,DA_manual_aug_str,Acceptor_BigSMILES,Donor_BigSMILES
PBDT-TT,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12,6TIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,-5.23,-3.34,-5.45,-3.94,9.46,9.461,0.812,19.1,61.0,"['CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1', 'c1ccsc1', 'CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12', 'Cc1cccs1', '.', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N']","[['CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1', 'c1ccsc1', 'CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12', 'Cc1cccs1', '.', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N'], ['Cc1cccs1', 'CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1', 'c1ccsc1', 'CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12', '.', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N'], ['CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12', 'Cc1cccs1', 'CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1', 'c1ccsc1', '.', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N'], ['c1ccsc1', 'CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12', 'Cc1cccs1', 'CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1', '.', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N']]",CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1.c1ccsc1.CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12.Cc1cccs1...C=C1C(=O)c2ccccc2C1=C(C#N)C#N.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.C=C1C(=O)c2ccccc2C1=C(C#N)C#N,"['CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1.c1ccsc1.CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12.Cc1cccs1...C=C1C(=O)c2ccccc2C1=C(C#N)C#N.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'Cc1cccs1.CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1.c1ccsc1.CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12...C=C1C(=O)c2ccccc2C1=C(C#N)C#N.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12.Cc1cccs1.CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1.c1ccsc1...C=C1C(=O)c2ccccc2C1=C(C#N)C#N.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1ccsc1.CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12.Cc1cccs1.CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1...C=C1C(=O)c2ccccc2C1=C(C#N)C#N.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.C=C1C(=O)c2ccccc2C1=C(C#N)C#N']",CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12Cc1cccs1[>][]}
PBDT-TT,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12,ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,-5.23,-3.34,-5.6,-3.86,8.72,8.719,0.849,15.8,65.0,"['CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1', 'c1ccsc1', 'CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12', 'Cc1cccs1', '.', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1ccccc1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N']","[['CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1', 'c1ccsc1', 'CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12', 'Cc1cccs1', '.', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1ccccc1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N'], ['Cc1cccs1', 'CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1', 'c1ccsc1', 'CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12', '.', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1ccccc1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N'], ['CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12', 'Cc1cccs1', 'CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1', 'c1ccsc1', '.', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1ccccc1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N'], ['c1ccsc1', 'CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12', 'Cc1cccs1', 'CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1', '.', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1ccccc1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'C=C1C(=O)c2ccccc2C1=C(C#N)C#N']]",CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1.c1ccsc1.CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12.Cc1cccs1...C=C1C(=O)c2ccccc2C1=C(C#N)C#N.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1ccccc1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.C=C1C(=O)c2ccccc2C1=C(C#N)C#N,"['CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1.c1ccsc1.CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12.Cc1cccs1...C=C1C(=O)c2ccccc2C1=C(C#N)C#N.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1ccccc1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'Cc1cccs1.CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1.c1ccsc1.CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12...C=C1C(=O)c2ccccc2C1=C(C#N)C#N.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1ccccc1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12.Cc1cccs1.CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1.c1ccsc1...C=C1C(=O)c2ccccc2C1=C(C#N)C#N.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1ccccc1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.C=C1C(=O)c2ccccc2C1=C(C#N)C#N', 'c1ccsc1.CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12.Cc1cccs1.CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1...C=C1C(=O)c2ccccc2C1=C(C#N)C#N.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1ccccc1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.C=C1C(=O)c2ccccc2C1=C(C#N)C#N']",CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12Cc1cccs1[>][]}
J52,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CCCCC(C)CC)s6)c5s4)s3)c2n1,BTA13,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,-5.13,-3.22,-5.34,-3.62,7.82,7.822,1.05,12.7,58.66,"['CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1', 'c1ccsc1', 'CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1', 'Cc1cccs1', '.', 'C=c1sc(=C(C#N)C#N)n(CC)c1=O', 'CCCCCCCCn1nc2ccccc2n1', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1ccccc1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'CCCCCCCCn1nc2ccccc2n1', 'C=c1sc(=C(C#N)C#N)n(CC)c1=O']","[['CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1', 'c1ccsc1', 'CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1', 'Cc1cccs1', '.', 'C=c1sc(=C(C#N)C#N)n(CC)c1=O', 'CCCCCCCCn1nc2ccccc2n1', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1ccccc1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'CCCCCCCCn1nc2ccccc2n1', 'C=c1sc(=C(C#N)C#N)n(CC)c1=O'], ['Cc1cccs1', 'CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1', 'c1ccsc1', 'CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1', '.', 'C=c1sc(=C(C#N)C#N)n(CC)c1=O', 'CCCCCCCCn1nc2ccccc2n1', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1ccccc1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'CCCCCCCCn1nc2ccccc2n1', 'C=c1sc(=C(C#N)C#N)n(CC)c1=O'], ['CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1', 'Cc1cccs1', 'CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1', 'c1ccsc1', '.', 'C=c1sc(=C(C#N)C#N)n(CC)c1=O', 'CCCCCCCCn1nc2ccccc2n1', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1ccccc1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'CCCCCCCCn1nc2ccccc2n1', 'C=c1sc(=C(C#N)C#N)n(CC)c1=O'], ['c1ccsc1', 'CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1', 'Cc1cccs1', 'CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1', '.', 'C=c1sc(=C(C#N)C#N)n(CC)c1=O', 'CCCCCCCCn1nc2ccccc2n1', 'c1cc2sccc2s1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1ccccc1', 'CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1', 'c1cc2sccc2s1', 'CCCCCCCCn1nc2ccccc2n1', 'C=c1sc(=C(C#N)C#N)n(CC)c1=O']]",CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1.c1ccsc1.CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1.Cc1cccs1...C=c1sc(=C(C#N)C#N)n(CC)c1=O.CCCCCCCCn1nc2ccccc2n1.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1ccccc1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.CCCCCCCCn1nc2ccccc2n1.C=c1sc(=C(C#N)C#N)n(CC)c1=O,"['CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1.c1ccsc1.CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1.Cc1cccs1...C=c1sc(=C(C#N)C#N)n(CC)c1=O.CCCCCCCCn1nc2ccccc2n1.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1ccccc1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.CCCCCCCCn1nc2ccccc2n1.C=c1sc(=C(C#N)C#N)n(CC)c1=O', 'Cc1cccs1.CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1.c1ccsc1.CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1...C=c1sc(=C(C#N)C#N)n(CC)c1=O.CCCCCCCCn1nc2ccccc2n1.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1ccccc1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.CCCCCCCCn1nc2ccccc2n1.C=c1sc(=C(C#N)C#N)n(CC)c1=O', 'CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1.Cc1cccs1.CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1.c1ccsc1...C=c1sc(=C(C#N)C#N)n(CC)c1=O.CCCCCCCCn1nc2ccccc2n1.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1ccccc1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.CCCCCCCCn1nc2ccccc2n1.C=c1sc(=C(C#N)C#N)n(CC)c1=O', 'c1ccsc1.CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1.Cc1cccs1.CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1...C=c1sc(=C(C#N)C#N)n(CC)c1=O.CCCCCCCCn1nc2ccccc2n1.c1cc2sccc2s1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1ccccc1.CCCCCCc1ccc(-c2(-c3ccc(CCCCCC)cc3)cccc2)cc1.c1cc2sccc2s1.CCCCCCCCn1nc2ccccc2n1.C=c1sc(=C(C#N)C#N)n(CC)c1=O']",CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,{[][<]CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1Cc1cccs1[>][]}
