"Augmented_SMILES,T_K,P_Mpa",exp_CO2_sol_g_g
C(OC)CCCOC(=O)CCC(C)=O|393.15|19.987|,0.1761
O(CCCCOC(CCC(C)=O)=O)C|393.15|19.987|,0.1761
C(CCC(OCCCCOC)=O)(C)=O|393.15|19.987|,0.1761
C(=O)(CCC(OCCCCOC)=O)C|393.15|19.987|,0.1761
O(C)CCCCOC(CCC(=O)C)=O|423.15|2.221|,0.01501
C(CCCOC(CCC(=O)C)=O)OC|423.15|2.221|,0.01501
O=C(CCC(=O)C)OCCCCOC|423.15|2.221|,0.01501
CC(=O)CCC(OCCCCOC)=O|423.15|2.221|,0.01501
C(CCOC)COC(CCC(C)=O)=O|423.15|2.221|,0.01501
CC(=O)CCC(OCCCCOC)=O|423.15|2.935|,0.01993
C(CCC(OCCCCOC)=O)(=O)C|423.15|2.935|,0.01993
O=C(C)CCC(OCCCCOC)=O|423.15|2.935|,0.01993
C(COC)CCOC(=O)CCC(=O)C|423.15|2.935|,0.01993
C(COC(CCC(C)=O)=O)CCOC|423.15|2.935|,0.01993
O(C(=O)CCC(C)=O)CCCCOC|423.15|4.705|,0.03216
COCCCCOC(CCC(=O)C)=O|423.15|4.705|,0.03216
C(OC(=O)CCC(C)=O)CCCOC|423.15|4.705|,0.03216
O(CCCCOC)C(=O)CCC(C)=O|423.15|4.705|,0.03216
CC(=O)CCC(=O)OCCCCOC|423.15|4.705|,0.03216
C(COC)CCOC(CCC(=O)C)=O|423.15|6.035|,0.04145
C(OC(CCC(=O)C)=O)CCCOC|423.15|6.035|,0.04145
C(OCCCCOC)(=O)CCC(=O)C|423.15|6.035|,0.04145
O(CCCCOC)C(CCC(C)=O)=O|423.15|6.035|,0.04145
C(C(C)=O)CC(=O)OCCCCOC|423.15|6.035|,0.04145
CC(=O)CCC(=O)OCCCCOC|423.15|6.572|,0.04529
O=C(CCC(OCCCCOC)=O)C|423.15|6.572|,0.04529
C(OC)CCCOC(CCC(C)=O)=O|423.15|6.572|,0.04529
CC(CCC(OCCCCOC)=O)=O|423.15|6.572|,0.04529
C(=O)(OCCCCOC)CCC(C)=O|423.15|6.572|,0.04529
COCCCCOC(=O)CCC(=O)C|423.15|8.242|,0.0571
C(CCOC)COC(CCC(C)=O)=O|423.15|8.242|,0.0571
C(CCOC(=O)CCC(=O)C)COC|423.15|8.242|,0.0571
C(CCC(=O)OCCCCOC)(C)=O|423.15|8.242|,0.0571
CC(CCC(=O)OCCCCOC)=O|423.15|8.242|,0.0571
C(COC(=O)CCC(C)=O)CCOC|423.15|8.696|,0.06041
O(C)CCCCOC(=O)CCC(C)=O|423.15|8.696|,0.06041
C(CC(OCCCCOC)=O)C(C)=O|423.15|8.696|,0.06041
O=C(CCC(C)=O)OCCCCOC|423.15|8.696|,0.06041
CC(=O)CCC(OCCCCOC)=O|423.15|8.696|,0.06041
C(COC)CCOC(CCC(C)=O)=O|423.15|12.036|,0.08309
C(COC(=O)CCC(C)=O)CCOC|423.15|12.036|,0.08309
C(OCCCCOC)(=O)CCC(=O)C|423.15|12.036|,0.08309
C(CCOC)COC(CCC(=O)C)=O|423.15|12.036|,0.08309
O=C(OCCCCOC)CCC(=O)C|423.15|12.036|,0.08309
C(CCCOC)OC(=O)CCC(=O)C|423.15|12.572|,0.08733
O=C(C)CCC(OCCCCOC)=O|423.15|12.572|,0.08733
CC(=O)CCC(=O)OCCCCOC|423.15|12.572|,0.08733
CC(=O)CCC(OCCCCOC)=O|423.15|12.572|,0.08733
C(CCCOC(=O)CCC(C)=O)OC|423.15|12.572|,0.08733
C(CCCOC)OC(=O)CCC(=O)C|423.15|16.038|,0.1107
O(CCCCOC(CCC(=O)C)=O)C|423.15|16.038|,0.1107
C(CCC(C)=O)(OCCCCOC)=O|423.15|16.038|,0.1107
C(CCOC(CCC(C)=O)=O)COC|423.15|16.038|,0.1107
COCCCCOC(=O)CCC(=O)C|423.15|16.038|,0.1107
C(CCOC)COC(CCC(C)=O)=O|423.15|16.541|,0.1139
C(C(C)=O)CC(OCCCCOC)=O|423.15|16.541|,0.1139
COCCCCOC(CCC(=O)C)=O|423.15|16.541|,0.1139
C(CCCOC)OC(=O)CCC(C)=O|423.15|16.541|,0.1139
O(C)CCCCOC(CCC(=O)C)=O|423.15|16.541|,0.1139
CC(=O)CCC(OCCCCOC)=O|423.15|20.095|,0.1355
C(CC(C)=O)C(=O)OCCCCOC|423.15|20.095|,0.1355
O(CCCCOC)C(=O)CCC(C)=O|423.15|20.095|,0.1355
COCCCCOC(CCC(C)=O)=O|423.15|20.095|,0.1355
COCCCCOC(CCC(=O)C)=O|423.15|20.095|,0.1355
O(CCCCOC(CCC(C)=O)=O)C|453.15|4.627|,0.02604
C(COC)CCOC(=O)CCC(=O)C|453.15|4.627|,0.02604
O=C(C)CCC(OCCCCOC)=O|453.15|4.627|,0.02604
O(CCCCOC(=O)CCC(C)=O)C|453.15|4.627|,0.02604
C(OC(=O)CCC(C)=O)CCCOC|453.15|4.627|,0.02604
O(C(=O)CCC(C)=O)CCCCOC|453.15|6.626|,0.03736
C(CCCOC(CCC(=O)C)=O)OC|453.15|6.626|,0.03736
C(CCC(=O)C)(OCCCCOC)=O|453.15|6.626|,0.03736
O=C(C)CCC(OCCCCOC)=O|453.15|6.626|,0.03736
C(=O)(C)CCC(OCCCCOC)=O|453.15|6.626|,0.03736
C(OC(=O)CCC(=O)C)CCCOC|453.15|8.037|,0.04534
O(CCCCOC(CCC(C)=O)=O)C|453.15|8.037|,0.04534
