folds,r,r2,mae,rmse
0,0.6767120673778275,0.43988347138488515,1.8360979322752384,2.5400048235259725
1,0.5112145364789131,0.09806944295145203,1.9679220207502741,2.6869283772241768
2,0.7430510608684621,0.5367628261167801,1.5548355608291395,1.9441618718005125
3,0.7218422567384681,0.5085101603051612,1.5822005914752597,2.0596601541810537
4,0.7380268395259743,0.5394589648884343,1.7875072128639249,2.2968260943220327
