Augmented_SMILES,calc_PCE_percent
c1(c(C(=O)OCC(CCCC)CC)c2sc(-c3ccc(-c4sc5c(c4)c(-c4ccc(s4)CC(CC)CCCC)c4c(cc(s4)C)c5-c4ccc(s4)CC(CCCC)CC)s3)c(C(OCC(CC)CCCC)=O)c2s1)-c1ccc(s1)C.c12sc3c(c1sc(c2)/C=C1/C(=C(C#N)C#N)c2cc(ccc2C1=O)C)C(c1ccc(CCCCCC)cc1)(c1cc2c(C(c4c-2sc2cc(sc24)/C=C2\C(c4ccc(C)cc4C2=C(C#N)C#N)=O)(c2ccc(CCCCCC)cc2)c2ccc(cc2)CCCCCC)cc1-3)c1ccc(cc1)CCCCCC,9.994
c1(sc2c(c1C(=O)OCC(CCCC)CC)sc(-c1sc(C)cc1)c2C(OCC(CCCC)CC)=O)-c1ccc(s1)-c1cc2c(c(c3cc(C)sc3c2-c2ccc(CC(CC)CCCC)s2)-c2ccc(CC(CC)CCCC)s2)s1.c12c3c(sc2-c2cc4C(c5ccc(CCCCCC)cc5)(c5ccc(cc5)CCCCCC)c5c(-c4cc2C1(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)sc1c5sc(c1)/C=C1\C(=O)c2ccc(cc2C1=C(C#N)C#N)C)cc(s3)/C=C1/C(c2c(ccc(C)c2)C1=O)=C(C#N)C#N,9.994
CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,7.771
c1(c2sc(-c3sc(cc3)-c3c4nn(nc4c(-c4sc(cc4)C)c(F)c3F)CC(CCCCCC)CCCCCCCC)cc2c(c2c1cc(s2)C)-c1ccc([Si](CCC)(CCC)CCC)s1)-c1ccc([Si](CCC)(CCC)CCC)s1.c1c(ccc(C2(c3ccc(cc3)CCCCCC)c3c(-c4cc5c(-c6sc7cc(sc7c6C5(c5ccc(cc5)CCCCCC)c5ccc(CCCCCC)cc5)/C=C5/C(c6c(C5=O)cccc6)=C(C#N)C#N)cc24)sc(c3)/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)c1)CCCCCC,7.771
[Si](CCC)(CCC)(c1sc(-c2c3sc(cc3c(-c3sc([Si](CCC)(CCC)CCC)cc3)c3sc(-c4ccc(s4)-c4c5nn(nc5c(-c5ccc(s5)C)c(F)c4F)CC(CCCCCC)CCCCCCCC)cc32)C)cc1)CCC.c1ccc2c(c1)C(/C(C2=C(C#N)C#N)=C\c1sc2c(sc3c2C(c2ccc(cc2)CCCCCC)(c2ccc(cc2)CCCCCC)c2cc4c(cc-32)C(c2ccc(CCCCCC)cc2)(c2c-4sc(c2)/C=C2\C(=O)c3c(C2=C(C#N)C#N)cccc3)c2ccc(cc2)CCCCCC)c1)=O,7.771
C([Si](c1sc(-c2c3c(sc(-c4ccc(s4)-c4c(F)c(F)c(-c5ccc(s5)C)c5c4nn(n5)CC(CCCCCCCC)CCCCCC)c3)c(c3c2sc(C)c3)-c2sc([Si](CCC)(CCC)CCC)cc2)cc1)(CCC)CCC)CC.c12c3c(sc2cc(s1)/C=C1\C(c2c(cccc2)C1=C(C#N)C#N)=O)-c1c(cc2-c4sc(/C=C5\C(c6ccccc6C5=C(C#N)C#N)=O)cc4C(c2c1)(c1ccc(CCCCCC)cc1)c1ccc(cc1)CCCCCC)C3(c1ccc(cc1)CCCCCC)c1ccc(CCCCCC)cc1,7.771
c1c(-c2cc3c(s2)c(c2c(sc(C)c2)c3-c2ccc([Si](CCC)(CCC)CCC)s2)-c2sc([Si](CCC)(CCC)CCC)cc2)sc(c1)-c1c(F)c(F)c(c2c1nn(CC(CCCCCC)CCCCCCCC)n2)-c1sc(C)cc1.c12c(-c3c(C2(c2ccc(CCCCCC)cc2)c2ccc(cc2)CCCCCC)c2c(s3)cc(/C=C3\C(c4ccccc4C3=C(C#N)C#N)=O)s2)cc2c(c1)-c1c(cc(/C=C3\C(c4c(cccc4)C3=C(C#N)C#N)=O)s1)C2(c1ccc(CCCCCC)cc1)c1ccc(cc1)CCCCCC,7.771
c12c(-c3ccc(s3)-c3sc4c(c5c(sc(c5)C)c(-c5ccc(s5)[Si](CCC)(CCC)CCC)c4c3)-c3ccc([Si](CCC)(CCC)CCC)s3)c(c(c(c2nn(n1)CC(CCCCCC)CCCCCCCC)-c1sc(C)cc1)F)F.O=C1c2c(C(/C1=C/c1cc3C(c4ccc(cc4)CCCCCC)(c4ccc(cc4)CCCCCC)c4c(-c3s1)cc1c(c4)-c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1sc(cc1s3)/C=C1/C(=C(C#N)C#N)c3ccccc3C1=O)=C(C#N)C#N)cccc2,7.771
CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CCCCC(C)CC)s6)c5s4)s3)c2n1.CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,8.36
c1c(F)c(CCCCC(C)CC)sc1-c1c2sc(-c3sc(-c4c(c(F)c(c5nn(nc45)CC(CCCCCC)CCCCCCCC)-c4ccc(s4)C)F)cc3)cc2c(c2c1cc(C)s2)-c1sc(c(F)c1)CC(CCCC)CC.c1cc(ccc1C1(c2cc3-c4c(c5sc(cc5s4)-c4ccc(c5c4nn(n5)CCCCCCCC)/C=c4\c(n(c(=C(C#N)C#N)s4)CC)=O)C(c4ccc(cc4)CCCCCC)(c3cc2-c2sc3c(sc(-c4ccc(c5nn(nc45)CCCCCCCC)/C=c4/sc(n(CC)c4=O)=C(C#N)C#N)c3)c21)c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)CCCCCC,8.36
