Augmented_SMILES,SD
c1c(C(C)(C)c2ccc(cc2)Oc2ccc(S(=O)(c3ccc(cc3)OC)=O)cc2)ccc(C)c1.c1(C)ccccc1,17.61
c1cc(C(C)(C)c2ccc(C)cc2)ccc1Oc1ccc(S(c2ccc(cc2)OC)(=O)=O)cc1.Cc1ccccc1,17.61
c1(ccc(cc1)Oc1ccc(cc1)S(c1ccc(OC)cc1)(=O)=O)C(C)(C)c1ccc(C)cc1.c1cc(C)ccc1,17.61
c1(C)ccc(C(c2ccc(Oc3ccc(S(c4ccc(cc4)OC)(=O)=O)cc3)cc2)(C)C)cc1.c1cccc(C)c1,17.61
c1c(S(=O)(=O)c2ccc(Oc3ccc(C(C)(c4ccc(cc4)C)C)cc3)cc2)ccc(OC)c1.c1c(cccc1)C,17.61
c1c(C(C)(C)c2ccc(Oc3ccc(cc3)S(=O)(c3ccc(OC)cc3)=O)cc2)ccc(C)c1.c1ccc(cc1)C,17.61
c1cc(ccc1C(C)(c1ccc(cc1)Oc1ccc(cc1)S(c1ccc(OC)cc1)(=O)=O)C)C.c1cccc(c1)C,17.61
c1(ccc(cc1)Oc1ccc(cc1)S(c1ccc(cc1)OC)(=O)=O)C(C)(c1ccc(cc1)C)C.c1(ccccc1)C,17.61
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.c1ccccc1C,3.29
C1(=O)c2cc(C(c3ccc4C(N(C(=O)c4c3)c3ccc(-c4ccc(Cc5ccc(C)cc5)cc4)cc3C)=O)=O)ccc2C(=O)N1C.c1(ccccc1)C,3.29
C1(N(c2c(cc(-c3ccc(Cc4ccc(cc4)C)cc3)cc2)C)C(=O)c2c1ccc(c2)C(=O)c1ccc2c(c1)C(N(C2=O)C)=O)=O.c1ccc(cc1)C,3.29
c12C(=O)N(c3ccc(cc3C)-c3ccc(Cc4ccc(cc4)C)cc3)C(c2cc(cc1)C(c1cc2C(N(C)C(c2cc1)=O)=O)=O)=O.Cc1ccccc1,3.29
c1c(cc(C)c(N2C(c3ccc(C(=O)c4cc5c(cc4)C(=O)N(C5=O)C)cc3C2=O)=O)c1)-c1ccc(cc1)Cc1ccc(C)cc1.c1cccc(C)c1,3.29
C1(N(C(=O)c2cc(C(c3ccc4c(c3)C(N(C4=O)C)=O)=O)ccc12)c1ccc(-c2ccc(cc2)Cc2ccc(cc2)C)cc1C)=O.c1c(C)cccc1,3.29
c1(ccc(cc1)Cc1ccc(cc1)-c1cc(C)c(N2C(=O)c3cc(C(c4cc5c(C(N(C)C5=O)=O)cc4)=O)ccc3C2=O)cc1)C.c1cc(C)ccc1,3.29
c1c(ccc2C(=O)N(C(=O)c21)C)C(=O)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1)-c1ccc(Cc2ccc(C)cc2)cc1.c1c(cccc1)C,3.29
c1cc(cc2c1C(=O)N(C2=O)c1ccc(cc1C)-c1ccc(cc1)Cc1ccc(C)cc1)C(=O)c1cc2c(cc1)C(N(C)C2=O)=O.c1(C)ccccc1,3.29
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.c1ccccc1C,19.28
CC1(CC(C)(c2c1cc(cc2)C)C)c1ccc(cc1)N1C(=O)c2cc(C(c3cc4c(C(N(C4=O)C)=O)cc3)=O)ccc2C1=O.c1(C)ccccc1,19.28
O=C1c2ccc(cc2C(N1C)=O)C(c1ccc2c(c1)C(=O)N(c1ccc(C3(CC(c4c3cc(C)cc4)(C)C)C)cc1)C2=O)=O.c1cccc(c1)C,19.28
c1c2C(N(C(c2ccc1C(=O)c1ccc2C(N(c3ccc(cc3)C3(C)c4cc(ccc4C(C)(C)C3)C)C(=O)c2c1)=O)=O)C)=O.Cc1ccccc1,19.28
c1c2c(cc(c1)C(c1cc3c(C(N(c4ccc(cc4)C4(c5c(C(C)(C)C4)ccc(C)c5)C)C3=O)=O)cc1)=O)C(N(C2=O)C)=O.c1c(C)cccc1,19.28
O=C1c2c(ccc(C(c3cc4C(=O)N(C)C(c4cc3)=O)=O)c2)C(=O)N1c1ccc(cc1)C1(CC(C)(c2c1cc(cc2)C)C)C.c1ccc(C)cc1,19.28
c1(ccc2C(N(C)C(c2c1)=O)=O)C(c1ccc2C(=O)N(C(c2c1)=O)c1ccc(cc1)C1(CC(C)(C)c2c1cc(C)cc2)C)=O.c1ccc(cc1)C,19.28
c1c2c(ccc1C(=O)c1cc3C(=O)N(C(=O)c3cc1)c1ccc(C3(C)c4cc(C)ccc4C(C3)(C)C)cc1)C(N(C)C2=O)=O.c1cc(C)ccc1,19.28
CN1C(=O)c2c(C1=O)ccc(C(=O)c1cc3C(N(C(=O)c3cc1)c1ccc(cc1)C1(c3c(ccc(C)c3)C(C)(C)C1)C)=O)c2.c1c(cccc1)C,19.28
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.c1ccccc1C,4.13
c1c(C(C)(C)c2ccc(Oc3cc4C(N(C(=O)c4cc3)c3cccc(C)c3)=O)cc2)ccc(c1)Oc1cc2C(N(C)C(c2cc1)=O)=O.c1cccc(C)c1,4.13
c1c2C(=O)N(C)C(c2cc(Oc2ccc(cc2)C(C)(C)c2ccc(Oc3ccc4c(c3)C(=O)N(c3cc(C)ccc3)C4=O)cc2)c1)=O.c1(ccccc1)C,4.13
c1cc(cc(C)c1)N1C(c2cc(Oc3ccc(C(C)(C)c4ccc(cc4)Oc4ccc5c(C(N(C5=O)C)=O)c4)cc3)ccc2C1=O)=O.c1ccc(cc1)C,4.13
c1cc(ccc1C(C)(c1ccc(Oc2ccc3C(=O)N(C(c3c2)=O)C)cc1)C)Oc1cc2C(N(c3cccc(C)c3)C(c2cc1)=O)=O.c1cc(C)ccc1,4.13
c1cc(C(C)(C)c2ccc(Oc3ccc4c(c3)C(N(c3cc(ccc3)C)C4=O)=O)cc2)ccc1Oc1ccc2C(=O)N(C(=O)c2c1)C.c1c(cccc1)C,4.13
c1c2C(N(C)C(c2cc(Oc2ccc(C(C)(C)c3ccc(cc3)Oc3cc4c(cc3)C(N(c3cccc(c3)C)C4=O)=O)cc2)c1)=O)=O.c1ccc(C)cc1,4.13
N1(C(=O)c2c(ccc(Oc3ccc(C(C)(C)c4ccc(cc4)Oc4ccc5C(=O)N(c6cc(C)ccc6)C(c5c4)=O)cc3)c2)C1=O)C.c1cccc(c1)C,4.13
C(c1ccc(cc1)Oc1ccc2c(C(=O)N(C)C2=O)c1)(c1ccc(Oc2ccc3c(c2)C(N(c2cc(C)ccc2)C3=O)=O)cc1)(C)C.c1(C)ccccc1,4.13
C/C(C)=C(C)\[Si](C)(C)C.CCOC(=O)C,16.91
C[Si](C)(C)C(C)=C(C)C.O=C(C)OCC,16.91
[Si](C)(C)(C(=C(C)C)C)C.C(OC(=O)C)C,16.91
C[Si](C)(C)C(=C(C)C)C.CC(OCC)=O,16.91
C[Si](C(=C(C)C)C)(C)C.O(CC)C(C)=O,16.91
CC(=C(C)C)[Si](C)(C)C.O(C(=O)C)CC,16.91
C[Si](C(C)=C(C)C)(C)C.O(CC)C(=O)C,16.91
C(C)(=C(C)[Si](C)(C)C)C.CC(=O)OCC,16.91
CC(C)=C(C)[Si](C)(C)C.O=C(OCC)C,16.91
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CCOC(=O)C,15.65
C(CCCCCCCCCCCNC)(=O)OCCCCCOCCCCOCCCCC.C(OC(C)=O)C,15.65
CNCCCCCCCCCCCC(OCCCCCOCCCCOCCCCC)=O.O(C(C)=O)CC,15.65
C(OC(CCCCCCCCCCCNC)=O)CCCCOCCCCOCCCCC.C(OCC)(=O)C,15.65
C(CCOCCCCOCCCCCOC(=O)CCCCCCCCCCCNC)CC.CCOC(C)=O,15.65
C(CCCCOC(CCCCCCCCCCCNC)=O)OCCCCOCCCCC.O=C(OCC)C,15.65
C(OCCCCCOC(=O)CCCCCCCCCCCNC)CCCOCCCCC.CC(OCC)=O,15.65
C(CCCCCCCCCCCNC)(OCCCCCOCCCCOCCCCC)=O.CC(=O)OCC,15.65
