PS_SMILES,SD
C[Si](C)(C)OC.CO,0.4
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CO,11.47
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CO,3.29
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CO,2.63
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CO,2.5
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CO,2.28
C/C(C)=C(C)\[Si](C)(C)C.O,0.03
C[Si](C)(C)OC.O,0.86
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.O,0.3
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.O,0.56
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.O,1.74
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.O,0.99
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.O,0.2
